model,f1_mean_ci,mttd_mean_ci,fnr_mean_ci
Hybrid,"0.7806 (0.7538, 0.8093)","0.0767 (0.0408, 0.1458)","0.0000 (0.0000, 0.0000)"
Sequence,"0.6035 (0.5558, 0.6470)","0.0452 (0.0434, 0.0470)","0.0450 (0.0093, 0.0815)"
SmallMLP,"0.7510 (0.7145, 0.7871)","0.1368 (0.0436, 0.2594)","0.0000 (0.0000, 0.0000)"
XGBoost,"0.2414 (0.1855, 0.2986)","0.0224 (0.0146, 0.0303)","0.0000 (0.0000, 0.0000)"
