model,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,mttd_mean,mttd_std,mttd_ci_lower,mttd_ci_upper,fnr_mean,fnr_std,fnr_ci_lower,fnr_ci_upper,n
Hybrid,0.7805562221555026,0.17315872617524375,0.7538450259749822,0.8092978611572873,0.07671147346496582,0.4192036329086466,0.04075689156850179,0.14575141906738281,0.0,0.0,0.0,0.0,150
Sequence,0.6034676333305532,0.2799953790210114,0.5557932386679862,0.6469728672516961,0.04520604732262827,0.011279036917915954,0.04340757940807482,0.04702821439200074,0.04499850100892886,0.2052196609442704,0.009317932392978645,0.08152719194704193,150
SmallMLP,0.7510143202865037,0.22678078291933507,0.7145135982334979,0.7870987552272855,0.13676508048485064,0.6597321545576474,0.043649707991501384,0.25939270381269786,0.0,0.0,0.0,0.0,150
XGBoost,0.24141349922072095,0.3733388711512775,0.18554452684032238,0.2985704129300148,0.022416764117301778,0.026866014752832092,0.014580787496363863,0.030337810516357422,0.0,0.0,0.0,0.0,150
