model,condition,Precision,Recall,F1,Full_Brake_FNR,MTTD,NMR
BF,baseline,,,0.0007498362409937889,0.0,0.0002353668212890625,0.0
BF,moderate,,,0.25893421054225535,-0.008408408408408412,0.003751220643031486,18.133333333333333
BF,severe,,,0.23473093600700418,-0.01349206349206349,0.003393419713032421,32.833333333333336
DS,baseline,,,9.303964068034058e-06,0.0,8.440017700195312e-05,0.1
DS,moderate,,,0.265066429297785,0.0,0.00034348707038802474,16.4
DS,severe,,,0.2658962715662513,0.0,0.0005140797726586697,30.4
